i,t,m,Aceite Vegetal,Aguacates,Ahí Verde,Ajo,Alimento Infantil,Apio,Arroz,Arvejas,Azúcar,Café Y Té,Carne De Res,Carnes De Puerco,Cebolla,Cereales Y Cremas,Cervezas,Chocolates,Cigarrillo Y Tabaco,Cocos (Pipas),Condimentos,"Culanto, Perejil, Cebollina",Embutidos,Enlatados Y Envasados,Frijoles,Galletas / Pasteles Y Dulces,Gelatinas,Guineos (Bananos),Harina De Trigo,Helados,Huevos De Gallina,Lecha Evaporada,Leche En Polvo,Leche Líquida,Lechuga,Lentejas,Licores Varios,Limones,Mangos,Manteca,Mantequilla,Manzanas,Margarina,Mariscos,Mayonesa,Maíz De Grano,Maíz De Mazorca,Melones,Miel,Naranjas,Otoes,Otros,Pan De Sal Y Pan De Dulce,"Panela, Raspadura, Etc",Papas,Papayas,Pastas Alimenticias,Pastas De Tomate,Pastillas Y Confites,Pepino,Pescados,Picaritas,Piñas,Plátanos Verdes,Pollo O Gallina,Porotos,Preparación De Maíz,Primer otro,Queso (Blanco Y Amarillo),Raspados Y Duros,Remolacha,Repollo,Sal,Sandias,Sardina Y Atún,Segundo otro,"Sodas, Refrescos Y Jugos",Sopa Enlatada,Tercer otro,Tomate,Viscera De Res,Visceras De Pollo O Gallina,Yuca,Zanahoria,Zapallo / Chayote,Ñame
19971023,1997,Chíriqui,,,,0.3,,,4.5,,4.2,1.5,10.2,,2.4,1,,,,,1,,1.5,,1.35,1,,,1.2,,1.2,10.5,18.8,2.76,,3.2,,,,,,,,,,,,,,,,,2,,2.4,,,1.28,,,,,,,15.6,3.8,2.5,,,,,,1,,3,,1,0.35,,,,,,,,
19971024,1997,Chíriqui,4.6,,,0.75,,,12,,3,2.1,17,,3,0.75,,,,,1,,3,,3,1,,,3,,1.2,2.8,,0.65,,3.4,,,,,,,0.7,,,,,,,,,,2,,4,,2.4,1.75,,,,,,,7.2,3.8,,,,1,,,0.5,,3,,3,1.4,,,,,,,,
19971025,1997,Chíriqui,4.1,,,0.75,,,18,,3,2.4,10.2,,1,2,,,,,0.75,,1,,,,,,3.6,,7.2,4.2,,2.5,,0.8,,,,,,,,,,,,,1,,,3,2.5,,2.1,,,2.32,,,3,,,,4.8,6,,,,2,,,0.5,,4.8,,2,1.4,,,,,,,,
19971030,1997,Herrera,3,,,1.2,,,15,0.69,3.1,,30,10,,4,,,15,,2.5,,6,,0.55,5,,2,,,2.4,6.5,,,1.2,1.38,,,,,,,2,,1.68,,,,,,,,15,,3.5,,4.96,5,,,,,,2,11.5,1.5,,,15,3,,,0.5,,,,9.9,,,1.6,10,,0.45,1.4,,
19971031,1997,Herrera,3,,,0.4,,0.3,2.5,,1.24,,25,10,1.2,3.68,,,,,0.8,,10,,,4,,0.5,,,1.2,4.14,,4.68,0.5,,,,,,,,0.5,7.25,0.75,,,,,,0.1,,1,,1.65,,,3,,,,,1,0.5,20,0.75,0.9,,1.2,1.6,0.75,,0.25,,,,5,,,3,,,0.75,0.6,,1.5
19971032,1997,Herrera,3,0.75,0.35,0.7,,0.5,3.46,0.36,1.77,1.69,13.2,5,1.2,2.05,,,,,2.19,,15,4.89,0.27,1.76,,1,0.5,,1.2,5,10,,0.6,0.34,,,,,,1,0.78,2,1.48,,0.1,0.75,,0.6,0.5,,3,,1.35,,1.94,3.28,,0.5,7,,1,0.5,13,0.37,3,,3.4,5,0.75,0.6,0.25,,1.4,,25,2,,2.5,2,,0.75,0.5,,0.6
19971033,1997,Herrera,3,,,0.7,,0.7,3.75,1.38,1.55,1.24,17.9,,2,3.5,,,,,2.45,,4,,,,,1,,,1.2,9.75,,9.45,1.2,1.38,,,,,,,1,,1.68,,,,,,,,7.5,,4,4,1.02,5,,,,,2,1,15,1.5,,,4,0.9,,,0.5,,,,3,,,4,,,,3.5,,
19971034,1997,Herrera,2.7,,0.3,0.6,,0.7,7.2,,1.55,2.4,10,2,1.2,,,,33,,3,,3.5,,1.1,2,,0.25,,,1.2,2.76,,5.4,2.6,0.69,,,,,,,1,,2.2,,,,1.5,,0.25,,5.25,,0.8,,0.8,4,,1.2,4,,,1,6.65,0.75,1,,4,,,1.2,0.25,,,,0.5,,,1.2,3,,0.75,0.7,0.5,4
19971035,1997,Herrera,,,0.7,0.5,,0.6,4.5,0.65,1.55,4.7,6.76,2,0.7,4.14,,,,,,,7.7,,0.55,11.25,,0.75,,,,4.14,,9.75,1.8,0.69,,,,,,1.25,1.5,,,,,,,,,,4.5,,3.5,1.05,1.4,0.95,,,,,1.5,4.5,11.5,0.75,,,3.75,3.5,,1.1,0.5,,,,2,,,1.5,1.8,,,0.8,,1.2
19971036,1997,Herrera,1.85,,,1.2,,0.75,3.75,,0.62,0.68,5,4,0.8,,,,,,,,4,,0.55,,,1,,,1.2,1.92,,3.2,1,0.69,,,,,,,2,,1.68,,,,,,,,7.5,,0.7,,0.65,2,,,,,,2,7.5,0.75,,,3,0.85,,,,,,,1.2,,,1,,,0.3,0.5,,0.8
19971037,1997,Herrera,3,,,0.6,,1.5,1.55,,1.55,,5.37,,0.8,3,,,,,2.5,,7.5,1.5,0.55,2.5,,1,,,1.2,3.9,20,5,1.8,0.69,,,,,,5,1,,1.68,0.95,,,1.5,,,,3.5,,3.5,,2.5,2.5,,1,,,1,,15,1.5,,,4,3,,1.2,0.5,,1.5,,5,,,4,,,,1.5,,
19971038,1997,Herrera,3.25,,,0.7,,1.4,3,,1.55,,16.5,,0.8,5,,,,,2.5,,9.6,,0.69,2.5,,0.5,0.3,,2.4,1.4,,3,3,0.69,,,,,,5,0.8,,1.9,0.38,,,,2,,,7.5,,7,2.7,2.81,2.5,,1.5,,,2,2,10,0.75,,,4,1.9,1.4,1.5,0.5,,,,5,1.75,,6,,,0.75,1.2,0.25,0.9
19971039,1997,Herrera,6,,0.35,0.6,,,7.25,,0.93,,,,1.05,3,,,15,,1.4,,,,,2.5,,0.75,,,,,,,0.65,0.69,,,,,,3.75,,,0.84,,,,,,,,3,,1.75,,,,,0.6,,,2,1.5,,3,1.5,,3.6,4,,0.69,0.25,,,,3,,,,,,,2.1,,1.2
19971040,1997,Herrera,3.1,,0.2,,,0.15,4.5,,3.1,,17.5,6,0.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.35,,,3.75,,0.5,,1.1,,,0.4,,,,0.6,8.8,,,,,,,,,,,,,,,0.5,,,0.2,,,0.6
19971042,1997,Herrera,3.19,,0.6,0.6,,0.35,,0.68,1.55,3.29,8.4,4.8,0.75,0.59,7,,,,,0.5,3.43,,,1.3,,,,,1,1.86,6,,,0.79,,,,,,,0.69,,,,0.5,,,,0.3,,3,,0.6,,0.7,2.21,,,2.5,,1,0.3,16,0.98,4,,2.65,,,,0.25,,0.63,,3.29,,,0.6,,,0.45,0.4,,0.6
19971043,1997,Herrera,2.11,0.75,0.4,,,0.2,6.92,,1.28,0.45,12,,1,2.6,,,,,,0.1,8,2.1,1.2,1,,0.5,0.3,,,4.5,,0.65,0.5,1.2,,,,,,,,,,,0.2,,,,,,2.5,,1,,0.83,3.4,,0.6,,,1,4,8,1.7,,,3.3,,,0.4,,,,,,0.66,,0.7,,,0.5,0.4,,
19971044,1997,Herrera,2.99,,0.3,0.5,,0.25,5.1,0.6,1.55,1.5,15,4.2,2,4,,,,,,,5,0.9,,4,,0.8,,,,3.54,5.25,3,,1.9,,,,,,,1.7,,1.95,,,,,,0.5,,4,,2,,0.98,1.96,,0.3,1.5,,,1,,1.9,,,3,1.8,0.25,2,0.25,,,,5.48,1.18,,0.75,5,,,2,,
19971045,1997,Herrera,2.65,,0.45,0.3,,0.4,7.2,,2.02,1.2,25,3.4,2.8,2.55,7,,1.2,,0.5,0.35,2.45,,0.9,6,,0.3,,,1.5,5.4,5.9,1.22,,0.64,,0.5,,,,,0.81,,1.86,,0.4,,,,,,1.25,,2.8,,0.39,2.45,,1,,,,0.4,5.5,0.64,1,,2.45,1,,0.3,0.5,,0.45,,8,0.75,,,,,,0.5,0.5,0.6
19971046,1997,Herrera,,,0.15,,,,3,,1.55,,2.64,1.8,0.25,1.77,,,,,,,4,,,0.45,,0.5,,,,4.6,5.2,4.5,,,,,,,,,0.61,,,,,,,0.25,,,0.5,,,,0.31,1.05,,,,,,0.2,4.75,,,,2.25,1,,,0.25,,,,6,0.35,,,,,,,,
19971047,1997,Herrera,1.5,,1,0.5,,,8.4,,1.24,,,,,0.4,,,,,,,,,,,,0.2,,,,0.96,15.8,,,,,,,,,,,,,,,,,,,,2.25,,1.2,,,0.7,,,,,,0.1,17.5,,,,15,0.4,,,0.25,,,,3.75,1.05,,,,,0.15,0.25,,
19971048,1997,Herrera,7.5,,,0.35,,0.3,9.15,,1.55,3,2.8,,,1.5,,,,,,,1.8,,,0.7,,,,,0.5,1.55,,,,1.8,,,,,,,,,0.35,,,,,,,,10.5,,,,,,,,,,,0.3,1.5,2.37,,,,,,,0.1,,,,,,,,,,,,,
19971049,1997,Herrera,2.99,,0.6,0.5,,0.5,9,,3.1,1.69,,,0.5,3.62,12.25,,2.2,,0.1,,1.12,0.98,0.7,3,,0.5,,,1.1,2.56,5.25,3.72,0.5,0.9,,,,,,,1.5,,3.38,,0.8,,,,,,7,,5,,1.04,2.1,,,,,0.5,1,,0.9,0.6,,3.6,2.5,,1,0.25,,0.84,,21.35,0.72,,0.8,,,0.6,0.4,,0.6
19971050,1997,Herrera,,,,,,0.2,,,0.54,1.24,3.6,,0.4,0.74,,,,,,,,,0.5,0.65,,0.25,,,,2.17,,,,0.5,,,,,,1,,,,,,,,,,,1,,0.6,,,,,,3,,,,,0.5,0.5,,1.25,1.2,0.35,,0.25,,,,0.6,,,0.5,,,0.3,,0.35,
19971051,1997,Herrera,2.25,2,,0.5,,1,7.5,,0.93,,9,1.8,1.25,,,,,,,0.25,2.25,,0.8,2,,0.3,,,0.5,0.64,5,3,0.5,0.8,,,,,,,1,,1.9,,,,,,0.6,,7,,0.5,,,1.05,,,6.25,,,1.4,5,0.9,1.5,,20,2,,0.5,0.5,,,,1,0.6,,1.2,,,0.3,0.4,,1.2
19971052,1997,Herrera,0.25,,,0.05,,,4.5,,0.31,1.05,1.7,,,0.2,,,,,0.15,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,0.6,,0.3,,,,,0.15,,,,0.2,10,,,,0.3,,,,0.5,,,,0.5,,,,,,0.15,0.15,,0.4
19971053,1997,Herrera,1.66,,1.2,0.7,,0.5,9,0.45,0.62,1.89,9,7.4,1.6,2.15,,,9,,1.7,0.2,4.56,,1.1,1.4,,0.8,,,0.5,1.24,,1.83,,2.6,,,,,,,1,,,,1,,,,0.4,,2,,1.8,,0.64,0.8,,0.15,,,,0.8,9.6,1.1,1,,3,0.5,,1.2,0.5,,0.65,,1.2,,,0.5,,,0.45,0.5,,2
19971054,1997,Herrera,3,,0.35,0.5,,0.05,4.5,0.8,1.55,1.39,4,,0.8,,,,,,0.5,,,,,1,,0.4,,,0.9,1.5,2.25,0.52,,,,,,,,0.5,,,0.7,,0.5,,,,,,6,,0.7,,,1.25,,,3,,,0.4,,,,,1,,,0.3,,,,,1.5,,,1,,,0.3,0.6,,0.5
19971055,1997,Herrera,3,,0.5,0.7,,0.5,,,1.5,1,30,9,0.8,3,,,,,0.75,,5,,0.65,0.5,,0.4,,,1.2,5.2,,9,,0.8,,,,,,1,0.2,,0.9,,0.2,,,,,,4.5,,0.4,,0.6,0.93,,,,,,0.4,4,2,,,3.5,1.5,0.65,0.4,1,,0.8,,7,0.8,,,,2.2,,1.3,,0.8
19971056,1997,Herrera,2.2,,,0.5,,0.3,3,,0.3,1.65,5.1,,0.45,,,,,,0.25,,,,,,,,,,,,,0.91,0.65,,,,,,,0.5,,,,,2.5,,,,,,2,,0.9,,0.6,,,,,,,0.5,11.2,,,,1.5,,,,0.25,,,,0.8,,,1.4,,,,0.6,,0.7
19971057,1997,Herrera,,0.75,0.25,,,,1.5,0.4,0.78,2.37,4.2,1.5,,,,,,,,,,,0.6,,,0.25,,,0.6,0.7,,1.74,,,,,,,,0.25,,,,,0.25,,,,,,0.5,,0.79,,0.31,,,,,,0.5,0.2,4,,0.5,,1.1,,,0.6,,,,,,,,0.2,,,0.15,,,
19971058,1997,Herrera,3.09,,0.5,1.24,,0.5,7.35,,1.5,2.45,,14,0.6,4.2,,,18,3,0.05,,2.4,,,7,,0.5,0.78,,1,2.6,4.5,27.45,,1,,,,,,1.25,,,1.6,,4,,,,,,7,,0.8,,0.87,4,,,1.8,,,0.5,20,2,3,,45,1,,0.25,1,,0.55,,0.6,,,,,,2.1,0.3,,
19971059,1997,Herrera,1.3,1,0.4,,,,6.5,,0.54,1.2,8.5,4.5,0.8,,,,,,,,,,,,,0.2,,,0.6,1.5,2.5,0.9,,,,,,,,,1,1,,,,,,,,,2.5,,0.8,,1.24,,,0.8,7.2,,,0.5,15,,,,2.5,2.5,,0.25,0.25,,1,,1.5,,,,,,,,,0.4
19971060,1997,Herrera,3,,,0.5,,0.6,4.5,,1.5,0.3,20,,1,,,,,,1,,3,,,,,1,,,2.4,2.7,,1.5,1,,,,,,,,0.15,,0.95,,,,,0.6,,,1.5,,1.5,,1,1,,0.5,4,,1,2,5.5,,3,,2,1,,1,0.25,,1,,5,,,2,,,1,1,,1
19971061,1997,Herrera,3,,1,0.6,,0.4,7.5,,3,1.2,5.4,7,1.2,3,,,,,0.5,,5,,1,9,,0.5,,,1.2,4.5,10,,,2,,1,,,,,2,7,2.1,,,,,,,,6,,1.6,,3.5,5,,,,,2,1,8.4,2,,,4.5,3,,0.3,1,,,,14,0.9,,1,1.5,,,0.5,,1
19971062,1997,Herrera,3.56,,0.4,0.5,,,6.2,,1.28,1.2,16,3.5,1.8,1.95,,,5.6,,4,,5,,0.4,5,,,0.3,,3,5.2,25,,,0.6,,,,,,,1.04,,1.75,,,,1.5,,0.4,,7,,0.8,,0.3,0.82,,,,,,1,89,,,,12.8,2,,0.5,,,1.2,,1.8,,,1,,,0.15,0.4,,
19971063,1997,Herrera,5,1.5,1,2,2,0.5,5,,4.5,2.7,20,3,2,2.5,,,,,0.2,0.1,5,1,1.5,1,,,0.6,,,1.5,,15,0.75,1.5,,,,,,1,1.3,,,,,,,,,,11,,2,,3,5,,,8,,,1,3.5,,,,3.3,1.5,,,,,,,2,0.75,,1.5,,,0.5,1.5,,1.25
19971064,1997,Herrera,3.15,,0.35,0.5,,0.25,6,,1.86,1.69,6.8,10,0.4,2.5,,,,,1.8,,3,0.96,,1.38,,1,,,3.6,7,,9.75,1,2.04,,,,,,,,,1.9,,1,,,,0.1,,1.2,,1.9,,1,3.18,,,3.5,,,1,15,,,,1,,,,0.5,,,,1.2,,,0.8,,,0.8,,,1.6
19971065,1997,Los Santos,,1,1.5,1.1,,,7.35,1.8,1.85,1.8,8,8.75,3,,,,18,,,,6.4,,2.25,1.3,,0.5,,,,,,,1.5,2.25,,,,,,1,0.25,,5,,,,,,,,2.4,,2,,0.5,,,,2.7,,,1,,3,,,,,,,1.3,,,,,,,3,,,,,,
19971066,1997,Los Santos,3.1,0.5,0.25,0.7,,0.5,,0.6,0.7,2.58,6,,0.7,,,,,,,,,,1.2,,,,0.3,,,3.3,,3.25,,0.6,,,,,,,0.5,,0.8,,,,,,,,,,1,,1.2,,,,,,,0.5,9.6,1.8,,,,,,0.35,0.5,,1.25,,,1,,1.5,,,,0.7,,0.8
19971067,1997,Los Santos,6,,,0.5,,0.2,7.35,,1.55,,16,,0.99,5,,,,,,,,,0.6,0.4,,,,,0.8,2.31,,,0.6,0.9,,,,,,,0.61,,1.5,,,,,,,,6,,1,,1.56,,,,,,,,6.4,0.9,,,1.99,,,0.8,0.25,,1.3,,1.5,,,,,,,,,
19971068,1997,Los Santos,7.1,2,0.7,0.5,,,7.25,1.5,1.86,3.15,3.7,,1,2.8,2,,,,1.5,,5.97,0.75,1.8,2.5,,2,0.3,,,3.72,10.2,1.8,0.5,2.4,,,,,,1,0.65,,1.2,1,,,,,0.6,,7.5,,9,,1.2,1.5,,0.4,,,,3,14.4,3,,,2.93,2,1.24,0.4,,,,,10,0.6,,2.4,2.8,,1.8,1.2,,2.4
19971069,1997,Los Santos,1.5,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
19971070,1997,Los Santos,2.25,,0.4,,,0.2,6,0.35,1.45,1.25,9.6,,0.6,2.55,,,,,,,3.6,1.2,,1.3,,0.5,,,,4.34,,4,1.2,1.12,,,,,,1,,,,,,,,,0.15,,7.5,,1.5,,0.55,0.9,,0.2,4,,,1.5,4.75,0.9,,,2.25,4,,0.4,0.25,,1.1,,6,0.96,,0.6,,,0.75,1.8,,0.5
19971071,1997,Herrera,,,0.2,0.6,1.2,0.15,3.6,,1.48,1.24,,1.5,0.8,2.58,6.4,,,,,0.4,,,0.5,0.55,,0.25,3.3,,,,10.7,4.88,,0.8,5,0.3,0.5,,,0.25,1.58,2,,,0.6,,,0.25,,,9,,1,1.5,,,,,5,,,0.5,,0.8,,,,2.6,,,1,,0.79,,5.03,,,0.8,,,,,0.4,0.4
19971072,1997,Herrera,,,,0.7,,,1.7,,,,5.4,3,0.3,0.59,,,,,0.2,,1.05,,0.6,0.8,,0.45,,,0.6,1.24,,3.6,1.3,,,,,,,0.25,,,,,,,,,,,0.35,,0.35,,,,,,,,0.75,0.4,,0.8,,,,1.5,,0.5,,,,,0.65,,,0.7,,,,0.5,,
19971073,1997,Herrera,6.65,,0.4,0.85,,0.3,5.2,,3.1,,13.8,6.4,1,7.41,,,,,,0.2,7.82,1.58,0.5,1.2,,0.3,0.75,,2.4,13,,3.92,1.2,1.78,,0.1,,,,,1.65,7.5,,,0.2,,,,,,5.25,,,,,2,,0.8,,,1,1.5,6,,,,4.98,5,,1,,,1.96,,3.84,2.72,,,,,0.3,0.8,,0.5
19971074,1997,Herrera,,,0.2,,,,,,0.75,,1.25,,0.5,6.32,,,,,,,15,,,,,,,,1.1,5.7,,17.25,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,6.16,4.6,,,,,2.18,,45,,,0.6,1.25,,,,,
19971075,1997,Herrera,2.87,2.5,,,,,7.5,,0.93,1.8,,,,6,7.5,,,,,,,,0.4,1,,,,,1.2,,2.27,,,1.6,,,,,,,,,,,,,,,,,4.75,,,,0.94,,,,,,,0.5,,0.8,1.2,,1.26,3,,,,,,,10,,,,,,,,,
19971076,1997,Los Santos,2.25,,,,,,0.9,,,0.45,5.1,,,,,,,,,,,,0.6,,,,,,,,,1.6,,0.8,,,,,,,,,,13,,,,,,,1.5,,,,,,,,,,,,,,,,,0.25,,,,,,,0.75,,,0.7,,,0.3,,,0.8
19971077,1997,Los Santos,,,,,4.75,,1.2,,7.86,,,,,,,,,,,,12,,,,,,,,,9.75,7.25,,,,,,,,,,0.25,,,,,,,,,,6,,,,,,,,,,,,6,,,,6,,,,,,,,12,,,,,,,,,
19971078,1997,Los Santos,,1.75,,,,,7.35,0.35,1.85,2.15,5.27,,0.4,0.6,,,,,,,1.37,,0.45,,,0.3,0.75,,,,,1.55,,1,1.5,,,,,,1.3,,0.65,,,,,0.25,,,15,,1,,0.5,0.49,,,,,,0.5,3.75,1,,,2.37,,,0.3,,,0.95,,2.9,,,,,,0.25,0.5,,0.4
19971079,1997,Los Santos,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1.2,,,1.25,1.4,,,,,,,0.75,,,,,,,,0.25,,,1.5,,,,,,,0.75,,,3,,,,,,,,,0.9,,,,,,,,,,,0.3,0.4,0.15,
19971080,1997,Los Santos,6.15,1,0.25,0.7,,,1.5,,1.55,,8,4.5,2,,,,,,0.4,,3.5,,,,,0.5,,,,1.26,,2.8,,,,,,,,,0.25,,1.5,,,,,,,1.8,0.48,,2.4,,1.06,2,,,,,,,,,,,,,,,,,,,1.4,1.1,,,,,,,,1.8
